證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,本益比,股價淨值比,股價營收比,M淨值報酬率─稅後,資產報酬率ROA,營業利益率OPM,利潤邊際NPM,負債/淨值比,M流動比率,M速動比率,M存貨週轉率 (次),M應收帳款週轉次,M營業利益成長率,M稅後淨利成長率,Return,ReturnMean_year_Label
2326,亞瑟         ,199712,23442,678.18,143.9873,21.1337,14.7174,0.074769,0.12753,0.090094,0.088825,0.70563,174.91,110.14,4.37,3.77,155.66,661.24,-78.9835,-1
5605,遠航         ,199712,23082,50.4,36.5217,2.7287,3.5745,0.040898,0.065763,0.037215,0.09323,0.60798,217.66,193.44,0,44.24,-24.36,1.4,-41.3492,-1
2348,力廣         ,199712,23068,336.45,112.15,13.7439,5.2034,0.042983,0.10579,0.031882,0.041928,1.4612,139.61,79.44,4.94,4.78,-31.22,27.49,-58.93,-1
2347,聯強         ,199712,22950,14.19,2.9937,0.44371,0.070314,0.064774,0.14174,0.030249,0.022462,1.1883,155.43,89.39,11.07,10.6,51,57.74,46.0888,1
2349,錸德         ,199712,22860,16.5,2.8696,0.36472,1.0274,0.072556,0.10605,0.22973,0.29868,0.46161,151.32,102.38,7.01,3.14,280.42,437.69,48.4848,1
2322,致福         ,199712,22796,47.85,44.3056,2.8584,0.88907,0.022298,0.058374,-0.0095471,0.019759,1.6179,238.81,163.31,5.82,4.97,-130.93,-8.56,-30.2403,-1
2518,長億         ,199712,22683,19,12.5,0.70318,2.3602,0.028609,0.045319,0.14178,0.16192,0.58408,249.63,27.68,0.25,7.61,38.17,36.12,-44.5789,-1
2373,震旦行       ,199712,22329,43.79,15.5284,3.4399,1.3621,0.1027,0.21528,0.047699,0.095711,1.0961,105.84,56.88,5,8.38,69.77,586.8,-16.1681,1
2362,藍天         ,199712,22125,31.11,7.2014,1.3645,0.57665,0.14099,0.17438,0.07587,0.073693,0.23678,356.51,250.16,7.44,13.87,-50.73,-34.14,-49.116,-1
2329,華泰         ,199712,22031,80.9,33.4298,4.3612,3.8269,0.085312,0.12182,0.095196,0.10689,0.42789,136.15,97.62,9.63,4.72,22.28,28.08,-16.4648,1
